date,market,ticker,currency,settle,segment,price
2022-10-03,BYMA,ADBE,ARS,2,Guaranteed,4018.500000000000
2022-10-03,BYMA,ADBED,USM,2,Guaranteed,13.450000000000
2022-10-03,BYMA,ADGO,ARS,2,Guaranteed,5206.500000000000
2022-10-03,BYMA,ADGOD,USM,2,Guaranteed,NULL
2022-10-03,BYMA,ADI,ARS,0,Guaranteed,14459.000000000000
2022-10-03,BYMA,ADI,ARS,2,Guaranteed,15036.500000000000
2022-10-03,BYMA,ADP,ARS,2,Guaranteed,12038.000000000000
2022-10-03,BYMA,AEG,ARS,0,Guaranteed,NULL
2022-10-03,BYMA,AEM,ARS,2,Guaranteed,4545.000000000000
2022-10-03,BYMA,AIG,ARS,2,Guaranteed,3052.000000000000
2022-10-03,BYMA,AKO.B,ARS,2,Guaranteed,3197.500000000000
2022-10-03,BYMA,AMAT,ARS,2,Guaranteed,5364.500000000000
2022-10-03,BYMA,AMD.B,ARS,2,Guaranteed,41350.000000000000
2022-10-03,BYMA,AMD,ARS,0,Guaranteed,41115.000000000000
2022-10-03,BYMA,AMD,ARS,2,Guaranteed,40881.500000000000
2022-10-03,BYMA,AMDD,USM,2,Guaranteed,145.000000000000
2022-10-03,BYMA,AMGN,ARS,2,Guaranteed,7158.000000000000
2022-10-03,BYMA,AMX,ARS,2,Guaranteed,5216.500000000000
2022-10-03,BYMA,AMXD,USM,2,Guaranteed,17.500000000000
2022-10-03,BYMA,AMZN,ARS,0,Guaranteed,243.250000000000
2022-10-03,BYMA,AMZN,ARS,2,Guaranteed,246.250000000000
2022-10-03,BYMA,AMZND,USM,0,Guaranteed,0.804000000000
2022-10-03,BYMA,AMZND,USM,2,Guaranteed,0.806000000000
2022-10-03,BYMA,ARCO,ARS,0,Guaranteed,4696.000000000000
2022-10-03,BYMA,ARCO,ARS,1,Guaranteed,4814.500000000000
2022-10-03,BYMA,ARCO,ARS,2,Guaranteed,4725.000000000000
2022-10-03,BYMA,ARKK,ARS,0,Guaranteed,1188.000000000000
2022-10-03,BYMA,ARKK,ARS,2,Guaranteed,1174.500000000000
2022-10-03,BYMA,ARKKD,USM,2,Guaranteed,4.190000000000
2022-10-03,BYMA,AUY,ARS,0,Guaranteed,1460.000000000000
2022-10-03,BYMA,AUY,ARS,2,Guaranteed,1475.000000000000
2022-10-03,BYMA,AUYD,USM,0,Guaranteed,4.700000000000
2022-10-03,BYMA,AUYD,USM,2,Guaranteed,4.830000000000
2022-10-03,BYMA,AVGO,ARS,2,Guaranteed,3615.000000000000
2022-10-03,BYMA,AVGOD,USM,2,Guaranteed,12.050000000000
2022-10-03,BYMA,AVY,ARS,2,Guaranteed,17402.500000000000
2022-10-03,BYMA,AVYD,USM,2,Guaranteed,57.000000000000
2022-10-03,BYMA,AXP,ARS,2,Guaranteed,8690.500000000000
2022-10-03,BYMA,AXPD,USM,0,Guaranteed,NULL
2022-10-03,BYMA,AZN,ARS,2,Guaranteed,8625.500000000000
2022-10-03,BYMA,AZND,USM,2,Guaranteed,NULL
2022-10-03,BYMA,BA.C,ARS,0,Guaranteed,4651.000000000000
2022-10-03,BYMA,BA.C,ARS,2,Guaranteed,4821.500000000000
2022-10-03,BYMA,BA.CD,USM,0,Guaranteed,NULL
2022-10-03,BYMA,BA,ARS,0,Guaranteed,6379.000000000000
2022-10-03,BYMA,BA,ARS,2,Guaranteed,6495.500000000000
2022-10-03,BYMA,BABA,ARS,0,Guaranteed,2758.500000000000
2022-10-03,BYMA,BABA,ARS,2,Guaranteed,2772.000000000000
2022-10-03,BYMA,BABAD,USM,0,Guaranteed,NULL
2022-10-03,BYMA,BABAD,USM,2,Guaranteed,9.590000000000
2022-10-03,BYMA,BAD,USM,2,Guaranteed,NULL
2022-10-03,BYMA,BB,ARS,2,Guaranteed,492.500000000000
2022-10-03,BYMA,BBD,ARS,0,Guaranteed,1241.000000000000
2022-10-03,BYMA,BBD,ARS,2,Guaranteed,1254.500000000000
2022-10-03,BYMA,BBDD,USM,0,Guaranteed,4.200000000000
2022-10-03,BYMA,BBDD,USM,2,Guaranteed,4.240000000000
2022-10-03,BYMA,BBV,ARS,2,Guaranteed,1418.000000000000
2022-10-03,BYMA,BCS,ARS,2,Guaranteed,2054.000000000000
2022-10-03,BYMA,BHP,ARS,2,Guaranteed,8021.000000000000
2022-10-03,BYMA,BIDU,ARS,2,Guaranteed,3370.000000000000
2022-10-03,BYMA,BIDUD,USM,2,Guaranteed,11.250000000000
2022-10-03,BYMA,BIIB,ARS,0,Guaranteed,6223.000000000000
2022-10-03,BYMA,BIIB,ARS,2,Guaranteed,6294.000000000000
2022-10-03,BYMA,BIOX,ARS,0,Guaranteed,8120.000000000000
2022-10-03,BYMA,BIOX,ARS,2,Guaranteed,8200.000000000000
2022-10-03,BYMA,BITF,ARS,2,Guaranteed,1684.000000000000
2022-10-03,BYMA,BITFD,USM,2,Guaranteed,NULL
